요구사항ID,요구사항명,기능ID,상세설명,필요한 Library,비고
R1,사이트 제목/메타,R1-F1,모든 페이지 위쪽(브라우저 탭)에 '진일의 포트폴리오'라는 제목이 보이게 합니다.,없음,head title
R1,사이트 제목/메타,R1-F2,"사이트 설명, 작성자, 키워드 등 meta 태그를 추가합니다.",없음,"검색, SNS 공유 대비"
R1,사이트 제목/메타,R1-F3,브라우저 탭 옆에 나오는 작은 그림(favicon)을 꼭 추가합니다.,없음,
R2,폰트/디자인,R2-F1,"홈페이지의 모든 글자는 'Noto Sans KR', 'Roboto', 'Arial', 'sans-serif' 중에서 잘 보이는 글씨체로 보이게 합니다.",Google Fonts CDN,한글과 영어 모두 예쁘게 보이게 함
R2,폰트/디자인,R2-F2,"배경색, 버튼색, 글자색 등은 Bootstrap에서 기본 제공하는 색상을 사용합니다.",Bootstrap 5.3,통일감 있게 예쁘게 함
R2,폰트/디자인,R2-F3,홈페이지를 예쁘게 빠르게 만들기 위해 Bootstrap 5.3 CDN을 꼭 사용합니다.,Bootstrap 5.3 CDN,
R2,폰트/디자인,R2-F4,"컴퓨터, 태블릿, 스마트폰에서도 모두 화면이 잘 보이도록 반응형으로 만듭니다.",Bootstrap 5.3,어느 기기든 OK
R2,폰트/디자인,R2-F5,빛/어두운 모드(다크모드)를 지원합니다. 사용자가 원하는 모드로 전환할 수 있습니다.,Bootstrap 5.3,"필수는 아님, 있으면 좋음"
R3,메인(홈) 화면,R3-F1,"홈페이지 맨 위에는 내 이름, 한줄 소개, 멋진 사진(또는 기본 이미지), 연락처가 Hero 영역으로 크게 나옵니다.",Bootstrap 5.3,
R3,메인(홈) 화면,R3-F2,"사진 자리는 일단 샘플 이미지(플레이스홀더)로 두고, 나중에 사진 파일명만 바꾸면 되게 합니다.",없음,나중에 이미지 교체
R3,메인(홈) 화면,R3-F3,내 경력에서 가장 자랑하고 싶은 것 3가지를 한눈에 볼 수 있게 카드 또는 배지로 보여줍니다.,Bootstrap Card/Badge,
R3,메인(홈) 화면,R3-F4,내가 누구인지 간단하게 소개하는 글(3~4줄)을 중앙에 넣습니다.,없음,초등학생도 읽을 수 있게 쉽고 짧게
R4,프로필/이력서 화면,R4-F1,"내 경력(어디서 일했는지), 학력(학교), 자격증, 상장, 수상 내역을 표로 한눈에 볼 수 있게 정리합니다.",없음,
R4,프로필/이력서 화면,R4-F2,"경력, 학력, 자격증, 수상 등은 구분된 섹션으로 묶고, 각 섹션에 제목(h2/h3)을 꼭 달아줍니다.",없음,누구나 찾기 쉽게
R4,프로필/이력서 화면,R4-F3,"자격증이나 상장, 졸업장 등 이미지는 일단 빈 이미지틀(플레이스홀더)만 넣고, 나중에 파일만 바꿔도 나오게 합니다.",없음,
R5,프로젝트/업무경험,R5-F1,내가 했던 프로젝트(일)는 각각 카드형태로 보여줍니다.,Bootstrap Card,
R5,프로젝트/업무경험,R5-F2,"프로젝트별로 이름, 기간, 내가 한 일, 사용한 기술, 결과(성과), 설명을 넣습니다.",없음,
R5,프로젝트/업무경험,R5-F3,"각 프로젝트 카드에는 샘플 이미지(플레이스홀더)를 미리 넣고, 나중에 실제 이미지로 바꿀 수 있게 합니다.",없음,
R5,프로젝트/업무경험,R5-F4,카드 아래에 '더보기' 버튼을 누르면 프로젝트에 대해 더 자세히 읽을 수 있게 접히는(펼쳐지는) 설명 부분을 만듭니다.,Bootstrap Collapse,설명이 너무 길면 접기/펼치기
R5,프로젝트/업무경험,R5-F5,나중에 프로젝트가 많아지면 검색(필터)도 추가할 수 있도록 구조를 만들어 둡니다.,없음,필수는 아님
R6,기술/스킬,R6-F1,"Java, Python, Vue, .NET, AI 등 내가 할 수 있는 기술은 막대그래프(progress bar)나 별점 등으로 얼마나 잘하는지 한눈에 보이게 합니다.",Bootstrap Progress,
R6,기술/스킬,R6-F2,각 기술별로 실제로 어디에 썼는지(프로젝트명)도 함께 짧게 써 줍니다.,없음,실력 증명
R7,강의/저서/외부활동,R7-F1,"강의, 세미나, 책 쓴 것 등은 표로 구분해서 일자, 제목, 내용, 장소(기관) 등 정보를 쉽게 볼 수 있게 합니다.",없음,
R7,강의/저서/외부활동,R7-F2,"책 표지 등 이미지도 샘플로만 넣고, 나중에 바꿀 수 있게 틀만 만들어 둡니다.",없음,
R8,수상/자격,R8-F1,"내가 받은 상장, 자격증, 수상내역은 표로 한눈에 정리해서 보여줍니다.",없음,
R8,수상/자격,R8-F2,"이미지는 샘플로만 넣고, 실제 파일로 교체할 수 있도록 만들어 둡니다.",없음,
R9,연락처/문의,R9-F1,"이메일 주소, 전화번호, GitHub, LinkedIn 등 내 연락처/외부링크를 한 곳에 모아 버튼으로 만들어 줍니다.",Bootstrap Button,
R9,연락처/문의,R9-F2,"메일을 보내는 폼은 만들지 않고, 클릭하면 바로 메일 앱이 열리게 mailto:를 씁니다.",없음,
R10,이미지 처리,R10-F1,"홈페이지에 들어가는 모든 이미지는 가로 100%, 높이 자동, object-fit: cover 스타일로 크기가 다 달라도 틀에 딱 맞게 보이게 만듭니다.",없음,이미지 왜곡 방지
R11,파일 다운로드,R11-F1,"이력서 PDF 파일 다운로드 버튼을 만들어 두고, 클릭하면 파일이 바로 다운로드 되도록 합니다.",없음,파일은 직접 올려야 함
R12,접근성,R12-F1,"각각의 구역(예: 프로젝트, 이력서, 연락처 등)은 h1, h2, h3와 같은 제목 태그로 구분해 누구나 쉽게 내용을 찾을 수 있게 합니다.",없음,접근성 및 SEO
R12,접근성,R12-F2,"버튼, 링크 등은 키보드로도 이동(탭)이 되게 하고, 마우스와 키보드 모두 잘 쓰이게 합니다.",없음,초등학생도 클릭/탭 쉽게
R13,유지보수/확장,R13-F1,"이력, 프로젝트, 기술 등 데이터는 HTML 내에서 별도 배열이나 표 구조로 정리하여, 나중에 내용을 바꾸기 쉽게 만듭니다.",없음,JSON 등 별도 파일 분리 추천
R13,유지보수/확장,R13-F2,"새로운 항목(예: 추가 프로젝트, 새 강의 등)이 생기면 같은 규칙으로 손쉽게 추가할 수 있도록 구조를 만듭니다.",없음,
R14,개발환경,R14-F1,빠르게 개발해야 하므로 html + javascript로 포트폴리오를 만들어야 한다.,,
R14,개발환경,R14-F2,"html은 각 메뉴별로 생성해서 만들도록 한다. 즉 index.html, contact.html 등 방식으로 관리한다.",,
R14,개발환경,R14-F3,"구글 검색엔진에 최적화 하기 위해 header, nav, main, aside, section, article, footer 등 태그를 적절하게 사용한다",,
